x,y,concept,cluster_embed,cluster_graph
12.3332815,14.467351,a publicly traded company,3,0
12.333776,13.86961,the total value of a publicly traded company,3,0
13.095483,12.827901,a company,3,1
12.610344,15.685333,measures only the equity component of a company,3,1
12.120144,16.127478,a more comprehensive measure of a firm,3,2
11.987814,16.357859,a firm,3,2
15.490145,14.269306,common shares outstanding,3,3
15.475052,14.272344,n is the number of common shares outstanding,3,3
10.139597,12.791075,million,3,4
11.1191435,13.757935,outstanding and the closing price per share is,3,4
11.154219,13.710642,if the closing price per share rises to,3,4
11.333687,13.804885,if it drops to,3,4
14.30172,14.104381,generally resulting in a smaller number,3,5
14.344277,14.131184,the floating number of shares in the calculation,3,5
12.642532,12.336284,shares in the calculation,3,5
14.342313,14.098493,a smaller number,3,5
11.129579,13.59654,earnings per share,3,6
12.020724,13.822181,the four major categories of the income statement,3,7
12.773968,16.457926,the united states,3,7
10.826627,12.742765,preferred stock rights have precedence over common stock,3,8
12.936283,11.8501625,stock,4,8
15.4867525,14.264947,of common shares outstanding during the time period,3,6
11.28598,12.964202,shares,3,6
10.811466,12.417519,impact of stock option grants and convertible bonds,3,6
11.277931,12.935338,the dilutive effect of any instruments that could,3,6
12.871987,15.657416,earning ratio calculator,3,10
11.705259,14.041322,analysis,3,10
12.748306,15.74119,is the ratio of a company,3,1
10.725569,13.762099,share price,3,6
13.733695,16.108843,years,3,11
11.8204365,14.712253,as an example,3,11
12.143308,13.5563,instead of net income,3,12
12.2105255,13.575177,net income,3,12
15.122909,14.182506,current number of shares,3,6
12.105452,15.01451,variations on the standard trailing and forward p,3,6
15.159618,14.2197,average number of shares,3,6
11.555065,15.191789,this is the convention followed in this article,0,13
11.394615,15.1735935,followed in this article,0,13
13.235932,12.801715,of the risk and future growth in earnings,3,14
13.286444,10.146362,the market,3,14
13.297219,10.165898,the per depends on the market,3,14
12.422153,14.676417,a listed company,3,15
15.161045,13.606201,are in relation to that of other companies,3,15
12.597776,14.298289,the per of a listed company,3,15
12.9738455,11.938531,and,3,48
12.4626255,13.007564,however,3,48
12.3955555,13.515593,s fall,3,18
12.102297,14.605765,for example,3,18
14.992182,12.620992,or earnings yield of about,2,19
14.944023,12.663293,about,2,19
14.978739,12.64227,e ratio of about,2,19
14.960272,12.610212,term returns for stocks of about,2,19
12.170529,14.6507845,the s,3,20
11.516856,14.70122,the recent year end values of the s,3,20
12.165918,13.382361,through higher and more sustained earnings growth rates,3,21
12.963148,14.880933,turn,3,21
12.906895,12.769212,even in the short term,3,22
12.827211,12.847284,the short term,3,22
15.417079,11.141577,several ways,4,23
10.686419,12.858991,in cash or debt rather than in stock,3,23
15.387455,11.17089,this can influence business decisions in several ways,4,23
12.153913,13.943717,and earnings are measured in dollars per year,3,11
13.623823,16.045853,the ratio is measured in years,3,11
12.299352,13.182203,therefore,3,24
13.114875,10.686831,if earnings stay the same,3,24
11.733005,13.596506,general,3,183
11.993458,13.421353,future compared to companies with a lower price,3,183
12.52769,14.769294,that investors are expecting higher growth of company,3,183
13.729959,16.034101,e ratios over a period of several years,3,26
14.235575,14.35817,theory,3,26
11.819656,14.13135,one could formulate something of a standardized p,3,26
12.118765,10.466953,return on investment,3,27
11.087192,13.872893,the inverse of price,3,27
11.917919,13.078108,present value of growth opportunities,3,27
12.054223,13.183992,growth opportunities,3,27
12.475191,14.429963,annual rate means that the compounding frequency is,3,28
12.709322,12.765455,with time periods measured in months,3,28
11.283059,14.484658,payable up to the end of one year,3,29
11.246722,14.4555025,one year,5,29
13.446401,14.203553,it gives the interest on,3,11
13.518834,13.918448,the maximum rate of interest allowable on loans,3,30
13.543471,14.016231,interest allowable on loans,3,30
9.884762,13.08671,such as the valuation of property leases,3,30
12.677532,13.547579,that could be computed easily in their heads,3,121
13.055502,11.897213,the,3,121
13.606752,14.179096,plus compounded interest,3,32
11.4045105,13.363951,the total accumulated value,3,32
12.082471,12.661665,right,3,33
5.216211,10.786519,displaystyle a,3,33
14.6005945,14.1554165,compounding periods per year increases without limit,3,34
12.712711,13.765232,annual rate approaches an upper limit of er,3,34
14.630161,14.149085,of compounding periods per year increases without limit,3,34
12.421433,13.176516,p 0 e r,3,35
12.311122,13.38641,0 e r t,3,35
5.2055516,10.774614,displaystyle,3,36
12.351122,12.161891,delta,4,36
13.51027,14.508255,is the interest rate with compounding frequency n,3,37
14.406869,14.277693,from one compounding basis to another compounding basis,4,37
5.222083,10.791436,displaystyle n,3,38
14.59279,14.910239,an exact formula for the monthly payment,3,38
5.220337,10.787452,displaystyle c,3,44
12.435423,12.675899,frac,3,44
12.229261,12.489374,let,3,44
5.2153277,10.790124,displaystyle t,3,40
12.899715,14.187241,for a,3,40
12.947244,14.856167,return,3,46
11.811784,9.15098,rate of return,3,46
12.572962,12.76503,months,3,43
5.254311,10.825595,displaystyle m,3,43
12.927431,15.814952,ratio,3,44
11.52626,12.947685,if two or more types of deposits occur,3,45
11.571965,12.939309,deposits occur,3,45
12.106037,10.353718,rate of return on investment,3,46
12.667129,13.105144,amount of each recurring deposit is not known,3,46
12.900049,15.764471,dividend payout ratio,3,47
12.38828,13.015184,capital gains are taxed at a lower rate,4,48
12.303882,12.958643,capital growth may prefer a lower payout ratio,4,48
12.85533,15.783003,for the payout ratio is as follows,3,12
13.00389,15.440517,dividend ratio times the dpr,3,49
13.011888,15.554203,by earnings yield times the dividend payout ratio,3,49
12.167841,12.741656,sustainable growth rate,3,44
9.859722,12.110786,time,3,50
12.979956,12.526732,and length of time,3,50
9.981137,11.852061,the future,3,51
10.210809,11.751347,for money now over money in the future,3,51
12.904484,13.552899,is sometimes given in the event of default,3,52
12.883563,13.616451,the event of default,3,52
11.808047,9.134028,and internal rate of return,3,55
13.179769,14.5555105,rate,3,55
12.719333,14.373841,where p is the inflation rate,3,55
12.977732,14.2900095,due to its global macroeconomic and financial significance,3,54
11.335887,15.156901,this regard,0,54
13.066593,14.495707,its global macroeconomic and financial significance,3,55
11.805217,9.128526,internal rate of return,3,55
11.89925,12.789255,factors into account compounding frequencies of products,3,56
11.882836,13.166672,products,3,56
12.004776,13.494709,annual coupon divided by its current market price,3,57
12.865914,15.579423,is the ratio of the annual coupon amount,3,57
12.298343,13.823103,per unit of par value,3,57
11.787447,9.110408,s expected internal rate of return,3,46
12.302007,13.911956,and repayment of the par value at maturity,3,46
13.504836,13.312206,developed economies,3,58
12.257325,13.3416815,concurrently with economic growth to safeguard economic momentum,3,58
14.957713,15.300866,interest rates on prime credits in the late,3,59
14.978061,15.320358,prime credits in the late,3,59
12.155367,13.568296,pandemic,3,7
14.996006,15.326227,the late,3,60
13.707554,14.31181,real interest rates were deemed certificates of confiscation,3,60
12.188366,13.533383,if given the alternative of holding cash,3,26
12.215925,13.037748,as savers will instead hold cash,3,61
12.4851,13.005169,likewise,3,61
13.791632,14.342435,interest rates have been proposed in the past,3,62
13.653466,14.318716,the past,3,62
14.997739,15.304674,notably in the late,3,62
10.71727,11.295475,tax on holding money,3,63
10.563137,11.573311,holding money,3,63
12.936235,14.6188135,component of his freiwirtschaft,3,63
12.473733,12.442088,on how long the bill had been held,3,64
12.828266,13.240637,was proposed by federal reserve employee marvin goodfriend,3,64
12.148609,12.230089,to be implemented via magnetic strips on bills,3,64
13.483865,13.3395195,loss of paper cash holdings to hoarders,3,65
13.694945,13.139833,existing paper currency via a serial number lottery,3,65
12.081078,14.994363,last two digits on the note for a,3,65
12.846894,13.872022,serial number end in that digit are worthless,3,65
12.590848,13.880738,july,3,66
13.335671,14.46516,the interest rate on its one,3,66
12.568047,12.961489,the economy and hence output and employment,3,67
12.607627,13.044472,in the economy and hence output and employment,3,67
10.11767,11.832686,form an expectation of inflation in the future,3,68
13.375473,10.189754,capital,3,68
9.924889,14.849502,free cost of capital,3,68
13.985542,14.2031355,costs according to the theory of rational expectations,3,68
12.665931,13.526024,and optimal policy design,3,69
12.481794,13.624165,affect monetary policy transmission and optimal policy design,3,69
13.422449,13.518104,year loan commands a greater liquidity premium,5,70
13.083917,13.438869,for instance,3,70
13.381843,14.484215,is the nominal interest rate on a short,3,71
13.377508,14.441799,the nominal interest rate on a given investment,3,71
12.823452,14.4231,pe is the expected inflation rate,3,55
13.201693,10.4594345,the same for all participants in the market,3,14
12.965336,13.544716,is only approximate,3,70
12.690736,12.805005,reality,3,72
12.232481,13.972601,the relationship is,3,72
5.204556,10.770863,displaystyle i,3,44
12.289647,13.584255,aligned,3,36
12.587384,13.291113,investments,3,74
12.505925,13.390602,used to calculate the dividend earning on investments,1,74
13.387585,14.806145,investors may find a higher dividend yield unattractive,3,75
10.8771515,11.112659,perhaps because it increases their tax bill,3,75
13.448911,14.793891,highest ever dow jones dividend yield occurred in,3,76
11.815789,13.7202215,when it yielded only,3,76
13.504528,14.896751,the dividend yield on the s,1,20
11.143544,11.725275,trailing dividend can be indicative of future dividends,3,77
10.97912,11.735556,future dividends,3,77
11.150455,12.832298,that may not occur again in the future,3,77
11.858969,13.613536,to be the payment for the next year,3,18
14.038551,15.014936,the yield would be assumed to be zero,3,78
13.111023,11.0343275,similarly,3,78
12.886543,15.081643,times,3,79
15.208821,13.604628,other words,3,79
11.987178,13.664055,the yield with the current price is,3,6
11.548814,13.165793,the dividend might be lowered or even eliminated,3,48
12.747369,12.167269,in the uk,3,8
12.036706,13.836011,last year and whose shares currently sell for,3,18
13.819627,15.013842,its dividend yield would be calculated as follows,3,36
13.177119,12.99907,future dividend yields are by definition uncertain,1,80
13.157261,13.017974,of future dividend yields are by definition uncertain,1,80
10.973243,12.938423,may under some circumstances be passed or reduced,3,48
13.171536,14.817357,the various yield measures,3,81
13.059949,14.801474,represents the minimum of the various yield measures,3,81
13.377788,14.652891,yield is related to the earnings yield via,3,47
9.941641,14.864266,cost of capital,3,68
13.041826,13.139448,of finance topics understanding dividend yields by investopedia,1,68
12.899539,13.114579,center,3,83
13.050086,13.14434,dividend yields by yahoo education center,1,83
14.2073345,12.751772,many countries and jurisdictions,3,84
11.456864,12.441014,standardized way as a form of consumer protection,3,84
11.320069,13.840851,it easier to compare lenders and loan options,3,121
14.291014,11.474109,the effective apr has been called the,3,85
13.360391,14.414551,interest rate for each year,3,85
14.91139,13.083449,term loan due in the first payment,3,86
14.231021,11.315614,for the effective apr,3,86
12.394637,13.410478,can also vary depending on whether the up,3,86
14.507911,14.797038,fee,3,18
14.086383,10.816757,hence there are at least two possible,3,48
14.258558,11.341578,whether fees must be included in apr calculations,3,87
14.23758,11.2965765,apr calculations,3,87
14.174505,11.32131,act governs the calculation and disclosure of apr,3,7
12.78155,16.461138,the united states is expressed as the periodic,3,183
14.892431,14.225946,the number of compounding periods in a year,3,183
11.367038,14.81844,provisions of the mortgage disclosure improvement act of,3,66
13.459724,12.849621,for,3,89
14.764517,11.754815,can be found here,3,89
11.773733,9.107429,thus equal to its internal rate of return,3,46
12.543207,13.758996,an assumption of zero prepayment and zero default,3,46
13.366629,15.1843815,home equity loan or other line of credit,3,89
13.723347,16.082298,expressed in years and fractions of a year,3,90
15.404554,12.838617,relative to the date of the first drawdown,3,90
15.417867,12.743149,and the date of drawdown i,3,90
15.413359,12.82182,between the date of the first drawdown,3,90
13.739495,16.102367,years and fractions of a year,3,90
15.434352,12.711709,and the date of repayment j,3,90
13.474538,12.404723,all forms of consumer debt in the eu,3,91
13.187808,12.471658,consumer debt in the eu,3,91
13.486327,12.27123,and below and excludes all mortgages,3,18
13.255926,13.707723,addition,3,92
11.4899435,14.809854,in the beginning of the loan,3,92
10.992735,15.11969,one payment of the lender to the borrower,3,92
13.131408,14.365656,where the interest is calculated based on the,3,89
14.007977,13.4883175,can also be expressed in several ways,3,23
14.425425,13.646085,annual rate in advance,3,23
12.865937,12.956772,is not trained in the mathematics of finance,3,23
13.889924,13.478637,advance,3,23
14.459091,13.624648,annually in advance,3,23
14.563017,13.596279,time fees paid in advance,3,23
12.061304,13.494067,money factor is usually given as a decimal,3,18
14.5522785,14.830606,monthly finance fee,3,36
14.208342,11.356777,factor for apr to ear is,3,94
14.255289,11.488235,compounding periods of the apr per ear period,3,94
12.935153,13.978118,compounded monthly carries an effective annual rate of,3,95
12.405118,14.588023,note that a high u,3,95
14.168953,11.326946,apr or the ear equivalent of,3,18
14.053388,14.989923,would be,3,121
14.626677,14.931664,the monthly payments,3,121
14.595131,14.94276,the monthly payment would be,3,48
13.92537,12.428728,in exchange for paying a higher purchase price,3,79
10.020981,14.878769,apr understates the true cost of the financing,3,79
11.155753,12.951097,which may not be feasible in all circumstances,3,96
10.629938,15.866048,this case,0,96
15.028471,13.629467,cost for any points or other origination fees,3,97
14.743781,13.64271,fees,3,97
13.165591,10.703073,to compare the apr of the same product,3,26
11.691908,13.06005,or similar products with different terms,3,98
14.162106,11.402491,apr may not,3,98
13.735009,14.223165,large variations,3,99
12.173312,13.613353,each of which returns a slightly different result,3,99
14.126533,10.803857,there are several acceptable methods of calculating apr,3,99
13.7231045,14.305699,software packages will not result in large variations,3,99
12.170696,15.872716,misleading or an inaccurate measure of borrowing costs,3,100
12.577866,15.18731,borrowing costs,3,100
11.783451,13.271141,this shift could effectively,3,101
11.786907,13.269675,like payday loans by rendering them financially unsustainable,3,101
13.050262,13.822237,under the assumption of a standard loan structure,5,102
11.918388,12.919029,the financial implications of mortgages with variable rates,3,102
13.045952,13.893953,of a standard loan structure,5,102
14.334012,14.029972,excluded fees can include various types of non,3,104
14.139458,11.372453,which are not reflected in the apr calculation,3,104
14.27179,14.039496,non,3,104
13.679159,12.726094,currency,3,105
14.208094,12.416773,and each type has limited boundaries of acceptance,3,106
11.725261,12.144237,unit of account for payments to government agencies,3,106
12.682398,13.278448,either chosen by users or decreed by governments,3,106
11.472509,13.422019,the value of a coin could be determined,3,107
12.453519,14.596562,the metal,3,107
14.310277,13.178721,tested for their fine weight of the metal,3,107
11.597014,12.081822,account,3,108
11.6758175,12.152522,and sometimes also defined a unit of account,3,108
10.492867,13.198359,while coins of copper or silver,3,108
10.941454,12.996966,or some mixture of them,3,108
10.816589,13.3347025,of central europe made silver relatively less valuable,3,109
10.793481,13.449993,of new world silver after the spanish conquests,3,109
12.464857,13.390939,metals varied greatly between different eras and places,3,109
12.723155,13.966714,premodern china,3,110
13.412475,13.544587,coins led to the introduction of paper money,3,110
12.755995,13.736886,amongst the traders in its monopolized salt industry,3,121
13.446763,15.283648,and merchants include the earliest uses of credit,3,111
13.465977,15.359889,credit,3,111
13.424194,15.292737,the transfer of credit and debt,3,111
10.477812,13.203337,of gold or silver coins rather than notes,3,112
10.505751,13.257907,facilitated loans of gold or silver at interest,3,112
13.780357,13.173063,the advantages of paper currency were numerous,3,112
10.999511,15.139147,the lender until someone else redeemed the note,3,112
11.321576,13.8533745,it allowed a division of currency into credit,3,112
13.775358,13.121158,paper currency were numerous,3,112
11.188027,12.193211,than they had specie to back them with,3,113
14.956195,13.090771,first,3,113
12.994685,12.683316,a fact observed by david hume in the,3,121
13.047415,12.692699,second,3,121
12.978715,13.55394,paper money was also associated with wars,3,114
13.114484,13.459452,of paper money was also associated with wars,3,114
12.27504,14.374271,and financing of wars,3,114
13.313853,15.891822,regarded as part of maintaining a standing army,3,114
13.149664,13.441739,remained in circulation occupied the efforts of inflationists,3,115
12.650262,14.101488,parallel use of both metals is called bimetallism,3,115
12.720927,14.08372,both metals is called bimetallism,3,115
10.485604,13.213041,silver they received but paying out in notes,3,116
10.478233,13.276456,notes,3,116
11.842356,15.002836,it went into circulation on the nation,3,117
13.800993,12.843404,developed a polymer currency in the,3,117
13.7304,12.892898,research organisation developed a polymer currency in the,3,117
12.519037,14.2507715,the life span of banknotes and reduces counterfeiting,3,118
12.349887,13.239222,over,3,118
13.795331,12.801122,polymer currency is used in over,3,118
12.896885,13.573153,is based on the concept of lex monetae,3,119
13.226903,13.512171,the concept of lex monetae,3,119
14.354876,12.574374,the dollar sign in particular has many uses,3,120
14.406278,12.571909,particular has many uses,3,120
12.669631,13.824955,frequently used currencies in world payments in july,3,121
11.419804,14.83821,s estimates of the,3,121
13.6786585,12.37696,exclusive power to issue all forms of currency,3,105
13.718835,12.785871,it regulates the production of currency by banks,3,105
12.731351,14.043001,alternative currencies for its own area of circulation,3,105
10.106128,13.512186,a country or group of countries,3,105
13.319572,10.1927805,in exchange rates are determined by the market,3,122
12.117211,14.32268,the former,3,122
14.069066,12.177577,supply and demand at a static exchange rate,3,122
12.777708,16.473284,dollars were legal tender in the united states,3,7
13.792492,11.374334,international investing,3,123
12.818512,12.920346,required in order to convert into other currencies,3,123
14.056757,10.914127,there are significant restrictions on international investing,3,123
12.65129,14.1111145,different currencies determines the exchange ratio between currencies,3,124
9.954778,14.087036,trade in goods and services,6,124
9.954141,14.073471,three aspects of trade in goods and services,6,124
9.915864,14.061443,goods and services circulating in the country,6,124
10.374116,14.068723,and services and the price of export trade,6,124
9.929398,14.088807,goods and services,6,124
12.5009985,14.040071,inflows and outflows of countries around the world,3,92
13.7581,14.291951,changes in interest rates,3,92
12.702405,15.206949,ratios,3,126
12.09686,13.478555,dominate the profitability of capital and economic development,3,126
9.9685,13.585089,repayment capacity and credit rating of the country,3,126
13.859346,13.094086,strict conditions for countries to achieve currency convertibility,3,127
14.167529,13.173821,good way for countries to improve their economies,3,127
12.972936,13.883478,microeconomics is a prerequisite for macroeconomic conditions,3,92
12.583636,13.111044,economy be in a normal and orderly state,3,128
12.615324,12.976671,a normal and orderly state,3,128
14.069634,12.353053,the impact of currency exchange on the economy,3,92
14.062845,12.183724,to eliminate the foreign exchange shortage,3,129
13.762533,11.806237,the government needs adequate international reserves,3,129
12.729236,13.026514,declared bitcoin,3,130
14.084358,12.197048,be a commodity under the commodity exchange act,3,130
13.278129,12.713244,order to protect and preserve the constitutional currency,3,131
9.879867,12.081487,money,3,131
13.188252,13.522526,is a violation of federal law for individuals,3,132
12.762046,16.454256,official coinage and currency of the united states,3,132
13.16756,13.554803,of federal law for individuals,3,132
12.2569275,14.98886,of this is the argentinian economic crisis of,0,133
12.918217,14.120391,on some of the characteristics of local currencies,3,133
12.353312,14.950777,this is the argentinian economic crisis of,0,133
11.4806595,14.82549,of the later,3,134
11.511233,14.814847,be seen as an implication of the later,3,134
13.062226,12.917158,developed concept of time preference,3,134
11.856862,9.228232,invested to earn a positive rate of return,3,46
10.028947,11.810395,worth more than a dollar in the future,3,51
13.064637,12.24328,recognizes the time value of money,3,131
11.881289,14.671958,is the sum that the testimony of the,3,121
10.431836,16.012146,the case of a debt,3,135
10.390264,16.01269,in the case of a debt,3,135
10.426315,16.035429,in the case of a financial asset,3,135
14.067651,15.04751,the assumption that inflation would be zero percent,3,136
14.037989,15.0299015,that inflation would be zero percent,3,136
13.12513,12.184593,amount equal to the time value of money,3,137
9.868267,12.118041,for the present value of a future sum,3,137
10.014597,11.873788,a likely stream of income in the future,3,137
9.831872,12.036798,the present value of the future cash flows,3,138
9.859155,11.9983225,the future cash flows,3,138
10.798102,13.157773,or a spreadsheet,3,139
11.650345,12.835722,most cases,1,139
14.696686,11.829721,bonds can be readily priced using these equations,3,18
11.999644,14.268303,an annuity that makes one payment per year,3,140
11.061628,14.38551,i will be the annual interest rate,3,140
11.988228,14.544573,see the example below,3,18
9.986229,14.931336,cost of equity,3,46
15.134857,13.67056,debt or any number of other analogous concepts,3,46
14.698811,11.856227,calculations can be either the variable solved for,3,46
13.529871,13.41671,of the individual payments in each compounding period,3,141
15.175865,14.223426,n is the number of periods,3,141
13.284583,13.233863,the individual payments in each compounding period,3,141
13.111941,12.277616,core formula for the time value of money,3,131
15.141146,13.580719,the other formulas is derived from this formula,4,131
12.252735,15.307742,each cash flow grows by a factor of,3,96
13.556643,14.060927,in the earlier formula for a growing perpetuity,3,142
13.67898,14.126931,the earlier formula for a growing perpetuity,3,142
12.950317,14.410912,approach is subject to various qualifications and modifications,3,143
12.441582,13.632735,practice,3,143
13.525773,12.833457,s creditors,3,2
14.719562,11.805127,ratios can be expressed as a decimal value,3,144
9.925519,13.115541,such as,3,144
13.022996,15.511372,aspect of the business which the ratio measures,3,145
13.063634,15.480111,the business which the ratio measures,3,145
12.02088,10.676796,concerned with the return on investment for shareholders,3,146
11.9203825,10.925119,investment for shareholders,3,146
11.739464,11.483701,and the value of an investment in company,3,146
11.1311655,13.366982,is it good or bad,3,147
9.917336,13.137621,is needed to answer questions such as,3,147
12.897235,12.652579,s performance over time,3,50
12.009754,13.690954,otherwise,3,148
12.116,14.388868,see below,3,148
13.834722,12.796832,but values in currency,3,105
9.938178,14.890518,or cost of sales,3,150
10.200153,14.466593,goods sold,6,150
9.982596,14.781731,cost of goods sold,6,150
10.993001,15.397168,s use of resources,3,151
11.973173,16.400206,the firm,3,151
11.984517,16.368788,efficiency ratios measure the effectiveness of the firm,3,151
12.387643,13.148403,capital budgeting,3,55
11.802751,9.124293,modified internal rate of return,3,55
12.979143,12.920958,many formal methods are used in capital budgeting,3,55
13.699458,13.6531925,list of financial performance measures stock valuation metrics,3,55
12.10399,16.024832,an roe is a measure of management,3,68
12.171949,10.544534,as with return on capital,3,68
12.235877,12.249018,other factors to be of use by itself,3,72
12.409006,14.133439,uses more debt financing relative to equity financing,3,152
12.7544,13.509831,finally,3,152
12.999494,12.489489,but dividend payments to shareholders are not,1,153
13.476742,12.714474,interest payments to creditors are tax,3,153
13.615485,13.124924,the risk of defaulting on interest payments increases,4,154
13.709513,13.2541895,defaulting on interest payments increases,4,154
10.823512,12.467658,roe is used developing estimates of a stock,3,155
14.380568,12.512655,particular,3,155
12.165872,12.772765,and hence the growth rate of its dividends,3,155
11.86147,13.566656,result,3,156
11.632961,13.58864,or the dividend discount model valuation result,3,156
13.574749,12.912843,which could then,4,157
13.512167,12.8508005,the company,4,157
14.097809,13.336123,list of business and finance abbreviations,3,158
12.219814,10.550343,return on assets,3,158
12.168607,10.502112,return on brand,3,158
14.093528,13.489414,business and finance abbreviations,3,158
13.001371,12.671618,public exchanges,3,159
13.040708,12.395855,are bought and sold predominantly on public exchanges,3,159
10.665985,12.330227,the holder of stock,3,8
13.351041,15.938941,have a claim to part of the company,3,8
15.200827,14.228584,owns relative to the number of outstanding shares,3,160
13.091767,14.1725645,the issuing company,4,160
13.240263,14.30987,is considered an owner of the issuing company,4,160
12.168435,11.297579,is legally separated from the property of shareholders,4,161
11.891454,10.947437,shareholders,3,161
12.172679,12.642845,liability of both the corporation and the shareholder,3,161
14.109983,13.056378,s assets to pay their creditors,3,61
11.569167,15.658062,third of the company,3,157
12.112488,12.62603,you the right to vote in shareholder meetings,3,162
12.070561,12.546255,shareholder meetings,3,162
12.771571,13.409575,a company by appointing its board of directors,3,6
11.623043,12.174052,if you own a majority of shares,3,6
10.779407,12.439476,stock buybacks,3,163
14.296295,13.154246,they cause their shares to appreciate in value,3,163
10.892761,12.651866,corporations can also engage in stock buybacks,3,163
15.383216,11.168677,bonds vary from stocks in several ways,4,23
12.6599245,14.251582,return for periodic payments,3,164
12.408955,14.275856,to the company in return for periodic payments,3,164
10.635588,12.267854,the type of stock,3,8
12.268619,12.758433,shareholder determines the rights and benefits of ownership,3,8
14.1065235,14.109884,generally,3,165
13.683748,13.811492,and contingent claim valuation,3,165
13.187788,13.285298,recommendation,3,70
12.306437,13.680818,model,3,122
13.911788,13.58609,based on the observation of market prices of,3,166
13.958662,13.545758,the observation of market prices of,3,166
12.643979,12.864737,private firms that have no frequently quoted price,3,70
12.769422,13.940519,necessary judgment and differing assumptions,3,167
12.76461,13.944443,significantly because of necessary judgment and differing assumptions,3,167
12.28358,13.376089,users of valuations benefit when key information,3,167
12.426749,13.272519,financial information may not be accurate and can,3,118
12.879843,13.407928,its assets at fair value,3,168
12.712501,13.565167,show some of its assets at fair value,3,168
11.791949,14.051993,and precedent transaction analysis,3,10
12.980151,13.752604,today,3,169
11.159207,14.447965,one year is worth less than,5,169
14.222905,14.397287,finance theory,3,170
13.222638,12.964752,risk and return of some sort of investment,3,170
12.255206,13.558542,the more return investors want from that investment,4,79
13.262147,14.198838,no incentive to buy the riskier second bond,3,96
11.963229,16.370123,the firm will be unable to raise capital,3,148
12.219889,15.270973,using the discounted cash flow method,3,171
13.722173,14.357061,flows and interest rates in the capital markets,3,171
10.531046,12.651666,shares of stock or sales of entire firms,3,172
10.572528,12.887843,stock or sales of entire firms,3,172
13.976146,13.658165,the observed prices serve as valuation benchmarks,3,173
13.956515,13.623361,benchmarks,3,173
12.9106655,13.3186035,be used to value heterogeneous portfolios of investments,3,74
14.867384,13.093417,this method was first described in the u,3,174
12.218685,14.63521,the u,3,174
12.419427,10.908238,the appraiser identify the value of tangible assets,3,175
12.397953,10.8657675,tangible assets,3,175
12.314944,10.742895,estimate an appropriate return on those tangible assets,3,175
